날짜,노선,방향,첫차~09시,09시~18시,18시~막차
금일 (2025-09-16),1호선,상행선,,,
금일 (2025-09-16),1호선,하행선,,,
금일 (2025-09-16),2호선,내선,,,
금일 (2025-09-16),2호선,외선,10분 지연,,
금일 (2025-09-16),2호선,외선,,,
금일 (2025-09-16),2호선,성수지선,,,
금일 (2025-09-16),신정지선,,,,
금일 (2025-09-16),3호선,상행선,5분 지연,,
금일 (2025-09-16),3호선,하행선,10분 지연,,
금일 (2025-09-16),4호선,상행선,10분 지연,,
금일 (2025-09-16),4호선,하행선,15분 지연,,
금일 (2025-09-16),5호선,방화행,,,
금일 (2025-09-16),5호선,하남검단산행,,,
금일 (2025-09-16),5호선,마천행,,,
금일 (2025-09-16),6호선,응암순환행,,,
금일 (2025-09-16),6호선,봉화산행,,,
금일 (2025-09-16),7호선,장암행,,,
금일 (2025-09-16),7호선,온수행,,,
금일 (2025-09-16),7호선,석남행,5분 지연,,
금일 (2025-09-16),8호선,상행선,,,
금일 (2025-09-16),8호선,하행선,,,
금일 (2025-09-16),9호선,상행선,,,
금일 (2025-09-16),9호선,하행선,,,
1일전 (2025-09-15),1호선,상행선,,,
1일전 (2025-09-15),1호선,하행선,,,
1일전 (2025-09-15),2호선,내선,10분 지연,,
1일전 (2025-09-15),2호선,외선,,,
1일전 (2025-09-15),2호선,외선,,,
1일전 (2025-09-15),2호선,성수지선,,,
1일전 (2025-09-15),신정지선,,,,
1일전 (2025-09-15),3호선,상행선,5분 지연,,
1일전 (2025-09-15),3호선,하행선,5분 지연,,
1일전 (2025-09-15),4호선,상행선,10분 지연,,
1일전 (2025-09-15),4호선,하행선,10분 지연,,
1일전 (2025-09-15),5호선,방화행,,,
1일전 (2025-09-15),5호선,하남검단산행,,,
1일전 (2025-09-15),5호선,마천행,,,
1일전 (2025-09-15),6호선,응암순환행,,,
1일전 (2025-09-15),6호선,봉화산행,,,
1일전 (2025-09-15),7호선,장암행,5분 지연,5분 지연,
1일전 (2025-09-15),7호선,온수행,,,
1일전 (2025-09-15),7호선,석남행,,,
1일전 (2025-09-15),8호선,상행선,,,
1일전 (2025-09-15),8호선,하행선,,,
1일전 (2025-09-15),9호선,상행선,,,
1일전 (2025-09-15),9호선,하행선,,,
2일전 (2025-09-14),1호선,상행선,,,
2일전 (2025-09-14),1호선,하행선,,,
2일전 (2025-09-14),2호선,내선,,,
2일전 (2025-09-14),2호선,외선,,,
2일전 (2025-09-14),2호선,외선,,,
2일전 (2025-09-14),2호선,성수지선,,,
2일전 (2025-09-14),신정지선,,,,
2일전 (2025-09-14),3호선,상행선,,,
2일전 (2025-09-14),3호선,하행선,,,
2일전 (2025-09-14),4호선,상행선,5분 지연,,
2일전 (2025-09-14),4호선,하행선,10분 지연,,
2일전 (2025-09-14),5호선,방화행,,,
2일전 (2025-09-14),5호선,하남검단산행,,,
2일전 (2025-09-14),5호선,마천행,,,
2일전 (2025-09-14),6호선,응암순환행,,,
2일전 (2025-09-14),6호선,봉화산행,,,
2일전 (2025-09-14),7호선,장암행,,,
2일전 (2025-09-14),7호선,온수행,,,
2일전 (2025-09-14),7호선,석남행,,,
