날짜,노선,방향,첫차~09시,09시~18시,18시~막차
2025-09-16,1,상행선,0,0,0
2025-09-16,1,하행선,0,0,0
2025-09-16,2,내선,0,0,0
2025-09-16,2,외선,10,0,0
2025-09-16,2,외선,0,0,0
2025-09-16,2,성수지선,0,0,0
2025-09-16,2,신정지선,0,0,0
2025-09-16,3,상행선,5,0,0
2025-09-16,3,하행선,10,0,0
2025-09-16,4,상행선,10,0,0
2025-09-16,4,하행선,15,0,0
2025-09-16,5,방화행,0,0,0
2025-09-16,5,하남검단산행,0,0,0
2025-09-16,5,마천행,0,0,0
2025-09-16,6,응암순환행,0,0,0
2025-09-16,6,봉화산행,0,0,0
2025-09-16,7,장암행,0,0,0
2025-09-16,7,온수행,0,0,0
2025-09-16,7,석남행,5,0,0
2025-09-16,8,상행선,0,0,0
2025-09-16,8,하행선,0,0,0
2025-09-16,9,상행선,0,0,0
2025-09-16,9,하행선,0,0,0
2025-09-15,1,상행선,0,0,0
2025-09-15,1,하행선,0,0,0
2025-09-15,2,내선,10,0,0
2025-09-15,2,외선,0,0,0
2025-09-15,2,외선,0,0,0
2025-09-15,2,성수지선,0,0,0
2025-09-15,2,신정지선,0,0,0
2025-09-15,3,상행선,5,0,0
2025-09-15,3,하행선,5,0,0
2025-09-15,4,상행선,10,0,0
2025-09-15,4,하행선,10,0,0
2025-09-15,5,방화행,0,0,0
2025-09-15,5,하남검단산행,0,0,0
2025-09-15,5,마천행,0,0,0
2025-09-15,6,응암순환행,0,0,0
2025-09-15,6,봉화산행,0,0,0
2025-09-15,7,장암행,5,5,0
2025-09-15,7,온수행,0,0,0
2025-09-15,7,석남행,0,0,0
2025-09-15,8,상행선,0,0,0
2025-09-15,8,하행선,0,0,0
2025-09-15,9,상행선,0,0,0
2025-09-15,9,하행선,0,0,0
2025-09-14,1,상행선,0,0,0
2025-09-14,1,하행선,0,0,0
2025-09-14,2,내선,0,0,0
2025-09-14,2,외선,0,0,0
2025-09-14,2,외선,0,0,0
2025-09-14,2,성수지선,0,0,0
2025-09-14,2,신정지선,0,0,0
2025-09-14,3,상행선,0,0,0
2025-09-14,3,하행선,0,0,0
2025-09-14,4,상행선,5,0,0
2025-09-14,4,하행선,10,0,0
2025-09-14,5,방화행,0,0,0
2025-09-14,5,하남검단산행,0,0,0
2025-09-14,5,마천행,0,0,0
2025-09-14,6,응암순환행,0,0,0
2025-09-14,6,봉화산행,0,0,0
2025-09-14,7,장암행,0,0,0
2025-09-14,7,온수행,0,0,0
2025-09-14,7,석남행,0,0,0
2025-09-14,8,상행선,0,0,0
2025-09-14,8,하행선,0,0,0
2025-09-14,9,상행선,0,0,0
2025-09-14,9,하행선,0,0,0
2025-09-13,1,상행선,0,0,0
2025-09-13,1,하행선,0,0,0
2025-09-13,2,내선,0,0,0
2025-09-13,2,외선,0,0,0
2025-09-13,2,외선,0,0,0
2025-09-13,2,성수지선,0,0,0
2025-09-13,2,신정지선,0,0,0
2025-09-13,3,상행선,5,0,0
2025-09-13,3,하행선,5,0,0
2025-09-13,4,상행선,5,0,0
2025-09-13,4,하행선,10,0,0
2025-09-13,5,방화행,0,0,0
2025-09-13,5,하남검단산행,0,0,0
2025-09-13,5,마천행,0,0,0
2025-09-13,6,응암순환행,0,0,0
2025-09-13,6,봉화산행,0,0,0
2025-09-13,7,장암행,0,0,0
2025-09-13,7,온수행,0,0,0
2025-09-13,7,석남행,0,0,0
2025-09-13,8,상행선,0,0,0
2025-09-13,8,하행선,0,0,0
2025-09-13,9,상행선,0,0,0
2025-09-13,9,하행선,0,0,0
2025-09-12,1,상행선,5,0,0
2025-09-12,1,하행선,0,0,0
2025-09-12,2,내선,0,0,0
2025-09-12,2,외선,0,0,0
2025-09-12,2,외선,0,0,0
2025-09-12,2,성수지선,0,0,0
2025-09-12,2,신정지선,0,0,0
2025-09-12,3,상행선,5,0,0
2025-09-12,3,하행선,10,0,0
2025-09-12,4,상행선,10,0,0
2025-09-12,4,하행선,15,0,0
2025-09-12,5,방화행,0,0,0
2025-09-12,5,하남검단산행,0,0,0
2025-09-12,5,마천행,0,0,0
2025-09-12,6,응암순환행,0,0,0
2025-09-12,6,봉화산행,5,0,0
2025-09-12,7,장암행,0,0,0
2025-09-12,7,온수행,0,0,0
2025-09-12,7,석남행,0,0,0
2025-09-12,8,상행선,0,0,0
2025-09-12,8,하행선,0,0,0
2025-09-12,9,상행선,0,0,0
2025-09-12,9,하행선,0,0,0
2025-09-11,1,상행선,0,0,0
2025-09-11,1,하행선,0,0,0
2025-09-11,2,내선,0,0,0
2025-09-11,2,외선,5,5,0
2025-09-11,2,외선,0,0,0
2025-09-11,2,성수지선,0,0,0
2025-09-11,2,신정지선,0,0,0
2025-09-11,3,상행선,5,0,0
2025-09-11,3,하행선,5,0,0
2025-09-11,4,상행선,10,0,0
2025-09-11,4,하행선,10,0,0
2025-09-11,5,방화행,0,0,0
2025-09-11,5,하남검단산행,0,0,0
2025-09-11,5,마천행,0,0,0
2025-09-11,6,응암순환행,0,0,0
2025-09-11,6,봉화산행,0,0,0
2025-09-11,7,장암행,0,0,0
2025-09-11,7,온수행,0,0,0
2025-09-11,7,석남행,0,0,0
2025-09-11,8,상행선,0,0,0
2025-09-11,8,하행선,0,0,0
2025-09-11,9,상행선,0,0,0
2025-09-11,9,하행선,0,0,0
2025-09-10,1,상행선,0,0,0
2025-09-10,1,하행선,0,0,0
2025-09-10,2,내선,5,0,0
2025-09-10,2,외선,10,0,0
2025-09-10,2,외선,0,0,0
2025-09-10,2,성수지선,0,0,0
2025-09-10,2,신정지선,0,0,0
2025-09-10,3,상행선,10,0,0
2025-09-10,3,하행선,5,0,0
2025-09-10,4,상행선,15,0,0
2025-09-10,4,하행선,20,0,0
2025-09-10,5,방화행,15,0,0
2025-09-10,5,하남검단산행,10,0,0
2025-09-10,5,마천행,10,0,0
2025-09-10,6,응암순환행,0,0,0
2025-09-10,6,봉화산행,0,0,0
2025-09-10,7,장암행,0,0,0
2025-09-10,7,온수행,0,0,0
2025-09-10,7,석남행,0,0,0
2025-09-10,8,상행선,0,0,0
2025-09-10,8,하행선,0,0,0
2025-09-10,9,상행선,0,0,0
2025-09-10,9,하행선,0,0,0
2025-09-09,1,상행선,0,0,0
2025-09-09,1,하행선,0,0,0
2025-09-09,2,내선,5,0,0
2025-09-09,2,외선,5,0,0
2025-09-09,2,외선,0,0,0
2025-09-09,2,성수지선,0,0,0
2025-09-09,2,신정지선,0,0,0
2025-09-09,3,상행선,5,0,0
2025-09-09,3,하행선,5,0,0
2025-09-09,4,상행선,10,0,0
2025-09-09,4,하행선,10,0,0
2025-09-09,5,방화행,0,0,0
2025-09-09,5,하남검단산행,0,0,0
2025-09-09,5,마천행,0,0,0
2025-09-09,6,응암순환행,0,0,0
2025-09-09,6,봉화산행,0,0,0
2025-09-09,7,장암행,0,0,0
2025-09-09,7,온수행,0,0,0
2025-09-09,7,석남행,0,0,0
2025-09-09,8,상행선,0,0,0
2025-09-09,8,하행선,0,0,0
2025-09-09,9,상행선,0,0,0
2025-09-09,9,하행선,0,0,0
2025-09-08,1,상행선,0,0,0
2025-09-08,1,하행선,0,0,0
2025-09-08,2,내선,0,0,0
2025-09-08,2,외선,0,0,0
2025-09-08,2,외선,0,0,0
2025-09-08,2,성수지선,5,0,0
2025-09-08,2,신정지선,0,0,0
2025-09-08,3,상행선,5,0,0
2025-09-08,3,하행선,10,0,0
2025-09-08,4,상행선,10,0,0
2025-09-08,4,하행선,20,0,0
2025-09-08,5,방화행,0,5,0
2025-09-08,5,하남검단산행,0,5,0
2025-09-08,5,마천행,0,5,0
2025-09-08,6,응암순환행,0,0,0
2025-09-08,6,봉화산행,0,0,0
2025-09-08,7,장암행,0,0,0
2025-09-08,7,온수행,0,0,0
2025-09-08,7,석남행,0,0,0
2025-09-08,8,상행선,0,0,0
2025-09-08,8,하행선,0,0,0
2025-09-08,9,상행선,0,0,0
2025-09-08,9,하행선,0,0,0
2025-09-07,1,상행선,0,0,0
2025-09-07,1,하행선,0,0,0
2025-09-07,2,내선,0,0,0
2025-09-07,2,외선,0,0,0
2025-09-07,2,외선,0,0,0
2025-09-07,2,성수지선,0,0,0
