날짜,노선,방향,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00,00:30
2025-09-17,1호선,소요산방면,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,20분 지연,20분 지연,20분 지연,20분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,,,,,,,,,,,,,,
2025-09-17,1호선,신창방면,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,15분 지연,15분 지연,15분 지연,15분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,,,,,,,,,,,,,,
2025-09-17,1호선,인천방면,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,,,,,,,,,,,,,,
2025-09-17,3호선,대화방면,,,,,,15분 지연,15분 지연,15분 지연,15분 지연,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17,3호선,오금방면,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,,,,,,,,,,,,,,
2025-09-17,4호선,당고개방면,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,25분 지연,25분 지연,25분 지연,25분 지연,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,20분 지연,,,,,,,,,,,,,,
2025-09-17,4호선,오이도방면,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,20분 지연,20분 지연,20분 지연,20분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,,,,,,,,,,,,,,
2025-09-17,경의중앙선,문산방면,15분 지연,15분 지연,15분 지연,15분 지연,15분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,,,,,,,,,,,,,,
2025-09-17,경의중앙선,용문방면,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,10분 지연,10분 지연,10분 지연,10분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,,,,,,,,,,,,,,
2025-09-17,경의중앙선,서울방면,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17,수인분당선,왕십리방면,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,,,,,,,,,,,,,,
2025-09-17,수인분당선,인천방면,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,15분 지연,15분 지연,15분 지연,15분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,10분 지연,,,,,,,,,,,,,,
2025-09-17,경춘선,상봉/청량리 방면,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,5분 지연,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
